student_id,attendance,study_hours,assignment_score,previous_marks,sleep_hours,participation,final_marks
1001,82.5,13.8,75.3,62.0,6.1,4,66.5
1002,72.9,5.4,56.1,53.1,7.2,5,48.9
1003,84.7,14.3,55.7,62.0,6.3,2,69.3
1004,97.8,16.8,53.0,68.7,,5,63.4
1005,71.5,12.1,46.9,60.8,9.0,3,62.7
1006,150.0,19.4,48.4,60.6,8.6,2,68.4
1007,98.7,6.1,56.4,48.8,5.4,1,58.3
1008,86.5,,58.5,49.4,8.0,1,45.4
1009,68.0,1.1,36.9,37.6,8.0,3,38.6
1010,83.1,17.5,80.7,88.0,5.6,3,82.0
1011,68.0,13.3,46.4,40.1,8.0,2,46.6
1012,68.0,9.7,55.6,48.9,8.8,3,51.8
1013,78.6,-4.0,66.3,48.5,5.7,2,66.2
1014,46.3,4.4,73.9,74.3,5.9,3,61.3
1015,49.1,22.2,55.6,55.3,8.2,2,55.2
1016,66.6,10.6,63.3,80.0,7.3,4,60.5
1017,59.8,10.5,38.5,49.2,7.7,4,46.8
1018,79.7,13.6,56.8,64.5,7.4,3,64.0
1019,61.4,12.4,51.7,46.6,7.5,2,54.0
1020,53.8,11.1,69.8,94.3,5.4,2,68.4
1021,97.0,6.0,49.5,41.0,8.3,4,56.6
1022,71.6,12.4,63.1,65.0,8.4,2,71.6
1023,76.0,19.4,63.4,70.1,6.7,2,74.3
1024,53.6,16.7,58.4,66.6,6.9,1,61.2
1025,66.8,18.0,59.8,57.0,5.2,3,61.7
1026,76.7,7.4,62.3,57.9,7.6,3,58.0
1027,57.7,5.1,52.2,60.7,7.7,4,56.5
1028,80.6,9.4,69.4,57.6,6.9,2,60.8
1029,66.0,10.3,67.0,75.4,8.3,2,66.0
1030,70.6,15.5,77.8,95.4,6.6,4,80.0
1031,66.0,1.5,60.9,51.1,7.7,4,48.5
1032,100.0,17.6,50.8,38.1,5.8,2,56.1
1033,74.8,9.2,66.4,58.6,7.0,3,62.6
1034,59.1,7.9,81.2,98.0,6.8,2,73.8
1035,87.3,4.9,49.0,47.1,7.3,5,55.5
1036,56.7,1.7,75.8,86.2,6.6,1,62.2
1037,78.1,14.1,64.8,86.8,6.8,5,79.5
1038,45.6,10.4,56.4,51.1,8.0,3,46.1
1039,55.1,3.6,64.3,69.1,6.5,3,63.0
1040,78.0,3.5,71.5,86.1,5.1,1,62.6
1041,86.1,8.3,56.0,53.9,9.1,3,61.1
1042,77.6,18.3,44.3,56.7,8.7,3,63.2
1043,73.3,8.7,51.2,50.7,5.4,2,50.9
1044,70.5,2.5,52.6,43.8,7.8,3,49.3
